Year,ALL,D_ALL,SG,D_SG,IG,D_IG
1920,2573,13,1008,13,1565,0
1921,2573,15,1008,11,1565,4
1922,2573,17,1008,16,1565,1
1923,2573,22,1008,20,1565,2
1924,2573,21,1008,21,1565,0
1925,2573,16,1008,15,1565,1
1926,2573,22,1008,21,1565,1
1927,2573,38,1008,35,1565,3
1928,2573,35,1008,34,1565,1
1929,2573,14,1008,14,1565,0
1930,2573,49,1008,44,1565,5
1931,2573,85,1008,82,1565,3
1932,2573,52,1008,50,1565,2
1933,2573,71,1008,69,1565,2
1934,2573,40,1008,38,1565,2
1935,2573,38,1008,38,1565,0
1936,2573,58,1008,58,1565,0
1937,2573,27,1008,24,1565,3
1938,2573,44,1008,42,1565,2
1939,2573,79,1008,76,1565,3
1940,2573,109,1008,103,1565,6
1941,2573,85,1008,80,1565,5
1942,2573,70,1008,67,1565,3
1943,2573,38,1008,37,1565,1
1944,2573,22,1008,20,1565,2
1945,2573,28,1008,27,1565,1
1946,2573,17,1008,15,1565,2
1947,2573,21,1008,19,1565,2
1948,2573,72,1008,69,1565,3
1949,2573,136,1008,129,1565,7
1950,2573,153,1008,143,1565,10
1951,2573,117,1008,101,1565,16
1952,2573,67,1008,61,1565,6
1953,2573,31,1008,31,1565,0
1954,2573,34,1008,32,1565,2
1955,2573,43,1008,37,1565,6
1956,2573,52,1008,49,1565,3
1957,2573,38,1008,36,1565,2
1958,2573,13,1008,12,1565,1
1959,2573,12,1008,12,1565,0
1960,2573,33,1008,32,1565,1
1961,2573,44,1008,41,1565,3
1962,2573,65,1008,60,1565,5
1963,2573,43,1008,42,1565,1
1964,2573,30,1008,27,1565,3
1965,2573,19,1008,17,1565,2
1966,2573,33,1008,32,1565,1
1967,2573,73,1008,71,1565,2
1968,2573,36,1008,33,1565,3
1969,2573,41,1008,41,1565,0
1970,2573,60,1008,53,1565,7
1971,2573,74,1008,70,1565,4
1972,2573,66,1008,64,1565,2
1973,2573,55,1008,52,1565,3
1974,2573,69,1008,62,1565,7
1975,2573,47,1008,45,1565,2
1976,2573,30,1008,28,1565,2
1977,2573,16,1008,15,1565,1
1978,2573,20,1008,19,1565,1
1979,2573,20,1008,19,1565,1
1980,2573,19,1008,18,1565,1
1981,2573,35,1008,34,1565,1
1982,2573,19,1008,16,1565,3
1983,2573,23,1008,21,1565,2
1984,2573,18,1008,18,1565,0
1985,2573,17,1008,16,1565,1
1986,2573,25,1008,23,1565,2
1987,2573,17,1008,17,1565,0
1988,2573,38,1008,38,1565,0
1989,2573,21,1008,21,1565,0
1990,2573,15,1008,15,1565,0
1991,2573,10,1008,10,1565,0
1992,2573,17,1008,17,1565,0
1993,2573,19,1008,17,1565,2
1994,2573,26,1008,25,1565,1
1995,2573,21,1008,21,1565,0
1996,2573,46,1008,45,1565,1
1997,2573,44,1008,44,1565,0
1998,2573,33,1008,31,1565,2
1999,2573,31,1008,29,1565,2
2000,2573,16,1008,15,1565,1
2001,2573,23,1008,23,1565,0
2002,2573,9,1008,9,1565,0
2003,2573,33,1008,32,1565,1
2004,2573,22,1008,22,1565,0
2005,2573,27,1008,27,1565,0
2006,2573,10,1008,10,1565,0
2007,2573,41,1008,40,1565,1
2008,2573,58,1008,57,1565,1
2009,2573,51,1008,50,1565,1
2010,2573,56,1008,51,1565,5
2011,2573,57,1008,56,1565,1
2012,2573,96,1008,93,1565,3
2013,2573,111,1008,104,1565,7
2014,2573,78,1008,72,1565,6
2015,2573,65,1008,59,1565,6
2016,2573,30,1008,25,1565,5
2017,2573,28,1008,26,1565,2
2018,2573,20,1008,20,1565,0
2019,2573,33,1008,32,1565,1
2020,2573,32,1008,31,1565,1
2021,2573,20,1008,20,1565,0
2022,2573,16,1008,16,1565,0
2023,2573,28,1008,28,1565,0
